New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
287,12,188,87,18441,537,15931,1973
1956,20,1643,293,185691,3290,166453,15948
233,13,113,107,12388,272,8420,3696
1504,3,1204,297,85083,1173,71943,11967
896,4,575,317,83252,3623,57036,22593
862,64,641,157,85274,6466,75692,3116
246,9,342,-105,18687,546,16273,1868
1894,26,2280,-412,187585,3316,168733,15536
291,2,217,72,12679,274,8637,3768
1167,1,913,253,86250,1174,72856,12220
970,92,904,-26,84222,3715,57940,22567
763,70,678,15,86037,6536,76370,3131
136,2,127,7,18823,548,16400,1875
1658,10,1691,-43,189243,3326,170424,15493
218,13,221,-16,12897,287,8858,3752
1232,2,1114,116,87482,1176,73970,12336
927,64,405,458,85149,3779,58345,23025
570,49,535,-14,86607,6585,76905,3117
158,4,251,-97,18981,552,16651,1778
1832,21,2527,-716,191075,3347,172951,14777
146,3,133,10,13043,290,8991,3762
1079,2,1041,36,88561,1178,75011,12372
1036,12,731,293,86185,3791,59076,23318
673,49,501,123,87280,6634,77406,3240
164,8,203,-47,19145,560,16854,1731
1824,19,1339,466,192899,3366,174290,15243
297,3,45,249,13340,293,9036,4011
1100,8,1081,11,89661,1186,76092,12383
993,22,1327,-356,87178,3813,60403,22962
675,61,501,113,87955,6695,77907,3353
189,5,131,53,19334,565,16985,1784
2402,16,1095,1291,195301,3382,175385,16534
272,4,290,-22,13612,297,9326,3989
1470,11,1360,99,91131,1197,77452,12482
1022,47,1026,-51,88200,3860,61429,22911
800,51,906,-157,88755,6746,78813,3196
364,7,211,146,19698,572,17196,1930
2398,21,1446,931,197699,3403,176831,17465
355,4,180,171,13967,301,9506,4160
1416,2,1203,211,92547,1199,78655,12693
995,46,700,249,89195,3906,62129,23160
879,81,561,237,89634,6827,79374,3433
253,6,213,34,19951,578,17409,1964
2959,24,2690,245,200658,3427,179521,17710
379,7,147,225,14346,308,9653,4385
1823,4,911,908,94370,1203,79566,13601
1068,58,821,189,90263,3964,62950,23349
977,69,625,283,90611,6896,79999,3716
275,7,166,102,20226,585,17575,2066
2753,27,2118,608,203411,3454,181639,18318
301,7,136,158,14647,315,9789,4543
1731,6,1175,550,96101,1209,80741,14151
1030,23,271,736,91293,3987,63221,24085
1015,51,591,373,91626,6947,80590,4089
185,7,250,-72,21034,623,18835,1576
3476,45,2952,479,214728,3595,191656,19477
319,5,178,136,15801,341,10551,4909
1755,11,1059,685,102338,1254,84771,16313
1471,95,736,640,96180,4230,66181,25769
885,75,883,-73,95133,7191,83502,4440
240,6,211,23,21274,629,19046,1599
3165,43,2075,1047,217893,3638,193731,20524
291,8,128,155,16092,349,10679,5064
2202,11,1348,843,104540,1265,86119,17156
1494,88,1007,399,97674,4318,67188,26168
1007,66,766,175,96140,7257,84268,4615
282,10,275,-3,21556,639,19321,1596
2541,35,2490,16,220434,3673,196221,20540
262,18,248,-4,16354,367,10927,5060
3095,27,1091,1977,107635,1292,87210,19133
1990,32,859,1099,99664,4350,68047,27267
1256,69,788,399,97396,7326,85056,5014
257,5,176,76,21813,644,19497,1672
3536,32,1772,1732,223970,3705,197993,22272
302,12,298,-8,16656,379,11225,5052
3460,42,2142,1276,111095,1334,89352,20409
1992,44,768,1180,101656,4394,68815,28447
1219,48,707,464,98615,7374,85763,5478
283,7,224,52,22096,651,19721,1724
3395,33,3776,-414,227365,3738,201769,21858
277,9,173,95,16933,388,11398,5147
1491,11,1581,-101,112586,1345,90933,20308
1850,41,120,1689,103506,4435,68935,30136
906,50,766,90,99521,7424,86529,5568
245,3,422,-180,22341,654,20143,1544
2361,36,2801,-476,229726,3774,204570,21382
295,6,287,2,17228,394,11685,5149
1486,28,1624,-166,114072,1373,92557,20142
1552,85,1061,406,105058,4520,69996,30542
863,39,705,119,100384,7463,87234,5687
183,0,277,-94,22524,654,20420,1450
2563,40,2500,23,232289,3814,207070,21405
287,1,107,179,17515,395,11792,5328
1684,24,1358,302,115756,1397,93915,20444
1612,106,673,833,106670,4626,70669,31375
946,52,675,219,101330,7515,87909,5906
286,8,229,49,22810,662,20649,1499
3786,33,3770,-17,236075,3847,210840,21388
287,13,188,86,17802,408,11980,5414
1814,13,1486,315,117570,1410,95401,20759
1773,30,528,1215,108443,4656,71197,32590
940,59,700,181,102270,7574,88609,6087
237,3,165,69,23047,665,20814,1568
3151,30,2570,551,239226,3877,213410,21939
456,9,207,240,18258,417,12187,5654
1228,73,1593,-438,118798,1483,96994,20321
1973,101,1114,758,110416,4757,72311,33348
1122,52,914,156,103392,7626,89523,6243
321,3,234,84,23368,668,21048,1652
